"EIN","Organization Name","Address","City","State","Zip","Total Revenue - Current Year","Total Functional Expenses","Total Liabilities: End of Year","Total Assets: End of Year","Number of Employees Reported on Form W-3","Net Assets","National Taxonomy of Exempt Entities Short Description","Type of 990 Form Filed","Fiscal Year End","National Taxonomy of Exempt Entities Full Description","Point Source","Selected Location"
"76-0708445","Voorhees Theater Company A Non Profit Corporation","PO Box 1254","VOORHEES","NJ","8043","33200","41748","0","10078","","10078","Arts, Culture, and Humanities","f990ez","2021","Theater","Candid","Camden (County, 2022)"
"80-0293945","East Coast Crush Volleyball Club Inc","14 White Pond Ct","CHERRY HILL","NJ","8003","191785","205002","","5056","","","Recreation, Sports, Leisure, Athletics","f990ez","2022","Amateur Sports Clubs, Leagues, N.E.C.","Candid","Camden (County, 2022)"
"80-0455689","Voorhees Basketball Association","PO Box 13","VOORHEES","NJ","8043","72593","76833","59344","80655","","21311","Recreation, Sports, Leisure, Athletics","f990ez","2021","Basketball","Candid","Camden (County, 2022)"
"80-0624652","Community Rocks Corp","923 Monmouth St","GLOUCESTER CITY","NJ","8030","64110","77912","3247","18120","","14873","Arts, Culture, and Humanities","f990ez","2020","Other Art, Culture, Humanities Organizations/Services N.E.C.","Candid","Camden (County, 2022)"
"80-0842136","Saving Grace Ministries Inc","808 MARKET STREET 3RD FLOOR","CAMDEN","NJ","8102","1600000","1600000","0","0","","0","Mental Health, Crisis Intervention","f990ez","2019","Counseling Support Groups","Candid","Camden (County, 2022)"
"81-1400309","Kelseys Kaleidoscope Inc A New View for Pan","1236 Brace Rd Ste B","CHERRY HILL","NJ","8034","41644","200422","","66112","","","Diseases, Disorders, Medical Disciplines","f990ez","2021","Diseases, Disorders, Medical Disciplines N.E.C.","Candid","Camden (County, 2022)"
"81-1855571","Wt Baseball Association A Nonprofit Corporation","27 W Church St","BLACKWOOD","NJ","8012","145120","126203","","106584","","","Recreation, Sports, Leisure, Athletics","f990ez","2021","Baseball, Softball (includes Little Leagues)","Candid","Camden (County, 2022)"
"81-3006403","Camden County East Institute On Race Religion & Public Policy","225 Miller Ave","LAWNSIDE","NJ","8045","150","196","0","0","","0","Civil Rights, Social Action, Advocacy","f990ez","2021","Intergroup/Race Relations","Candid","Camden (County, 2022)"
"81-3465036","Revive Kashmir Global","2 Saddlehorn Dr","CHERRY HILL","NJ","8003","56809","27200","","29609","","","International, Foreign Affairs, and National Security","f990ez","2018","International Migration, Refugee Issues","Candid","Camden (County, 2022)"
"81-3493615","Cherry Hill Travel Basketball Association Inc","1621 Crown Point Ln","CHERRY HILL","NJ","8003","6218135","53151","0","9031","","9031","Recreation, Sports, Leisure, Athletics","f990ez","2018","Basketball","Candid","Camden (County, 2022)"
"81-3586864","Voorhees Citizens Event Foundation","2400 Voorhees Town Ctr","VOORHEES","NJ","8043","38910","39307","0","72818","","72818","Public Safety","f990ez","2021","Other Public Safety, Disaster Preparedness, and Relief N.E.C.","Candid","Camden (County, 2022)"
"81-4180627","Daisys Place A Shelter for Women and Children","368 BROAD ST APT 415","NEWARK","NJ","7104","157016","118505","","65394","","","Housing, Shelter","f990ez","2021","Temporary Shelter For the Homeless","Candid","Camden (County, 2022)"
"81-4579898","Kingdom Business School","383 Kings Hwy N Ste 201","CHERRY HILL","NJ","8034","19098","15282","109648","113238","","3590","Education","f990ez","2020","Educational Services and Schools - Other","Candid","Camden (County, 2022)"
"81-4623976","Garden State Scholarship Foundation","2 Signal Hill Rd","CHERRY HILL","NJ","8003","8423","","","43952","","","Philanthropy, Voluntarism, and Grantmaking Foundations","f990ez","2021","Philanthropy / Charity / Voluntarism Promotion (General)","Candid","Camden (County, 2022)"
"81-4677712","Pine Valley Gun Club","166 Watsontown New Freedom Rd","BERLIN","NJ","8009","52324","37115","127","54130","","54003","Recreation, Sports, Leisure, Athletics","f990ez","2022","Fishing and Hunting Clubs","Candid","Camden (County, 2022)"
"81-4709285","Collecting for A Cause Inc","20 Lincoln Dr","CLEMENTON","NJ","8021","2963","1019","","2587","","","Philanthropy, Voluntarism, and Grantmaking Foundations","f990ez","2021","Philanthropy / Charity / Voluntarism Promotion (General)","Candid","Camden (County, 2022)"
"81-5073392","Light the Path A NJ Non Profit Corporation","320 Cedar Ln","SICKLERVILLE","NJ","8081","380","121","","357","","","Health","f990ez","2022","Patient Services - Entertainment, Recreation","Candid","Camden (County, 2022)"
"81-5162632","Healthy Life NJ Inc","PO Box 92","COLLINGSWOOD","NJ","8108","12756","9965","0","10321","","10321","Health","f990ez","2019","Public Health Program","Candid","Camden (County, 2022)"
"82-0852572","New Jersey Alliance for Social Emotional and Character Developmen","641 Chatham Rd","SOMERDALE","NJ","8083","175","6432","","44785","","","Education","f990ez","2022","Alliance/Advocacy Organizations","Candid","Camden (County, 2022)"
"82-1017446","Culture Church Inc","39 Red Bank Dr","SICKLERVILLE","NJ","8081","58679","46457","0","17519","","17519","Religion Related, Spiritual Development","f990ez","2018","Christian","Candid","Camden (County, 2022)"
"82-1036196","Transition Foundation","3005 Chapel Ave W Apt 6f","CHERRY HILL","NJ","8002","0","0","","0","","","Community Improvement, Capacity Building","f990ez","2018","Community Improvement, Capacity Building N.E.C.","Candid","Camden (County, 2022)"
"82-1483953","South Jersey Blue Mass Committee Inc","PO Box 183","BLACKWOOD","NJ","8012","3708","4551","","4528","","","Religion Related, Spiritual Development","f990ez","2022","Fund Raising and/or Fund Distribution","Candid","Camden (County, 2022)"
"82-1680772","Haddonfield International Exchange Inc","67 KINGS HWY W","HADDONFIELD","NJ","8033","0","","","7000","","","Education","f990ez","2021","Educational Services and Schools - Other","Candid","Camden (County, 2022)"
"82-1843762","Communitas Mater Domini","29 Windmill Dr","CLEMENTON","NJ","8021","135319","105039","","43913","","","Religion Related, Spiritual Development","f990ez","2021","Fund Raising and/or Fund Distribution","Candid","Camden (County, 2022)"
"82-2163506","Project Refit","45 Penn Rd","VOORHEES","NJ","8043","128049","62705","35444","164824","","129380","Public, Society Benefit - Multipurpose and Other","f990ez","2021","Military/Veterans' Organizations","Candid","Camden (County, 2022)"
"82-2308233","Boys of Sustainable Strength Mentoring","1440 Haddon Ave","CAMDEN","NJ","8103","78115","72555","0","5560","","5560","Youth Development","f990ez","2018","Youth Development Programs","Candid","Camden (County, 2022)"
"82-2474482","Woof Love Animal Rescue Inc","14 Conard Ave","COLLINGSWOOD","NJ","8108","157560","147685","","28880","","","Animal-Related","f990ez","2021","Animal Protection and Welfare (includes Humane Societies and SPCAs)","Candid","Camden (County, 2022)"
"82-3243769","Humanitarian Lift Project Corporation","1175 Marlkress Rd Unit 2205","CHERRY HILL","NJ","8034","1","2000","0","14133","","14133","Public Safety","f990ez","2022","Disaster Preparedness and Relief Services","Candid","Camden (County, 2022)"
"82-3306238","Knightsfury Riders","101 WASHINGTON AVE","BERLIN","NJ","8009","","","","270","","","Animal-Related","f990ez","2022","Animal Protection and Welfare (includes Humane Societies and SPCAs)","Candid","Camden (County, 2022)"
"82-4189432","Philadelphia Sports Writers Association Foundation","C/O Larry Litwin 17 Pine Valley Rd","BERLIN","NJ","8009","1986","2464","31103","25249","","-5854","Arts, Culture, and Humanities","f990ez","2022","Professional Societies, Associations","Candid","Camden (County, 2022)"
"82-4393965","Brian Westbrook Foundation Inc","10802 VALLEY BROOK DR","FT WASHINGTON","MD","20744","52500","0","","52500","","","Human Services - Multipurpose and Other","f990ez","2021","Human Service Organizations","Candid","Camden (County, 2022)"
"82-4755234","Ivet Hunnighan United Giving Foundation","PO Box 8612","BLACKWOOD","NJ","8012","1237","935","","5210","","","Health","f990ez","2022","Fund Raising and/or Fund Distribution","Candid","Camden (County, 2022)"
"82-5022113","Melanoma Action Coalition Inc","410 Gatewood Rd","CHERRY HILL","NJ","8003","2728","7953","","17814","","","Diseases, Disorders, Medical Disciplines","f990ez","2021","Alliance/Advocacy Organizations","Candid","Camden (County, 2022)"
"83-0409832","Erial School Parent Teacher Council Inc","20 Essex Ave","SICKLERVILLE","NJ","8081","29487","28472","0","14267","","14267","Education","f990ez","2020","Parent Teacher Group","Candid","Camden (County, 2022)"
"83-0785539","Dan Melleby Foundation","111 KITTY HAWK RD","CHERRY HILL","NJ","8034","23555","15140","","56691","","","Mental Health, Crisis Intervention","f990ez","2021","Fund Raising and/or Fund Distribution","Candid","Camden (County, 2022)"
"83-0809385","Friends of the Cistercian Monastery","112 Haddontowne Ct Ste 302","CHERRY HILL","NJ","8034","49478","21804","","229926","","","Religion Related, Spiritual Development","f990ez","2021","Roman Catholic","Candid","Camden (County, 2022)"
"83-2246650","Crisis Response Canines","184 White Cedar Dr","SICKLERVILLE","NJ","8081","91153","62929","0","50560","","50560","Mental Health, Crisis Intervention","f990ez","2021","Other Mental Health, Crisis Intervention N.E.C.","Candid","Camden (County, 2022)"
"83-2555594","Flashwright Project","1803 Downs Ave","CLEMENTON","NJ","8021","1900","1488","0","512","","512","Arts, Culture, and Humanities","f990ez","2020","Other Art, Culture, Humanities Organizations/Services N.E.C.","Candid","Camden (County, 2022)"
"83-2828966","Tessera Arts Collective","1172 Heron Rd","CHERRY HILL","NJ","8003","119727","66622","0","59246","","59246","Arts, Culture, and Humanities","f990ez","2021","Other Art, Culture, Humanities Organizations/Services N.E.C.","Candid","Camden (County, 2022)"
"84-2282823","Police Association of Runnemede","200 S Black Horse Pike","RUNNEMEDE","NJ","8078","6039","5298","0","4900","","4900","Human Services - Multipurpose and Other","f990ez","2021","Human Service Organizations","Candid","Camden (County, 2022)"
"84-2958889","Konquer Krew A NJ Nonprofit Corporation","602 CENTRAL AVE","RUNNEMEDE","NJ","8078","772","5744","","1245","","","Mental Health, Crisis Intervention","f990ez","2022","Alcohol, Drug and Substance Abuse, Dependency Prevention and Treatment","Candid","Camden (County, 2022)"
"84-3531652","New Jersey Irish Society Incorporated","420 Monmouth St","GLOUCESTER CITY","NJ","8030","14471","371","","13796","","","Public, Society Benefit - Multipurpose and Other","f990ez","2020","Fund Raising and/or Fund Distribution","Candid","Camden (County, 2022)"
"84-6035882","International Softball Congress Inc","3700 Hermitage Dr","VOORHEES","NJ","8043","98241","70289","0","243191","","243191","Recreation, Sports, Leisure, Athletics","f990ez","2022","Amateur Sports Clubs, Leagues, N.E.C.","Candid","Camden (County, 2022)"
"85-2523452","Kommunity Kares","208 N 38th St","PENNSAUKEN","NJ","8110","96606","83831","0","12775","","12775","Mental Health, Crisis Intervention","f990ez","2021","Group Home, Residential Treatment Facility - Mental Health Related","Candid","Camden (County, 2022)"
"85-2607199","Njpa Helping Hands","11 Yardley Ct","SICKLERVILLE","NJ","8081","11816","3581","0","8285","","8285","Community Improvement, Capacity Building","f990ez","2021","Alliance/Advocacy Organizations","Candid","Camden (County, 2022)"
"85-3018905","Dans Gentle Soles","327 Washington Ter","AUDUBON","NJ","8106","4680","224","","4456","","","Philanthropy, Voluntarism, and Grantmaking Foundations","f990ez","2020","Philanthropy / Charity / Voluntarism Promotion (General)","Candid","Camden (County, 2022)"
"85-3126650","Building Up the Youth A NJ Nonprofit Corporation","221 Vista Ct","SICKLERVILLE","NJ","8081","20000","17700","","0","","","Youth Development","f990ez","2021","Youth Development Programs","Candid","Camden (County, 2022)"
"85-3447057","Aiden Snyder Pediatric Brain Cancer Charity Inc","16 Dressage Ct","CHERRY HILL","NJ","8003","9600","0","0","9600","","9600","Medical Research","f990ez","2020","Cancer Research","Candid","Camden (County, 2022)"
"85-3531571","Community Cat Club Inc","PO Box 115","BELLMAWR","NJ","8099","82384","77676","2300","7008","","4708","Animal-Related","f990ez","2021","Alliance/Advocacy Organizations","Candid","Camden (County, 2022)"
"85-3534054","Rise Against Hate A NJ Nonprofit Corporation","12 Manor House Ct","CHERRY HILL","NJ","8003","83077","73523","0","10044","","10044","","f990ez","2022","","Candid","Camden (County, 2022)"
"85-3947156","Winslow Township Fire Department Second Responders","9 Cedar Brook Rd","SICKLERVILLE","NJ","8081","4220","2318","0","1902","","1902","Public Safety","f990ez","2020","Fund Raising and/or Fund Distribution","Candid","Camden (County, 2022)"
"86-1748764","Depth First Foundation Inc","225 S 18TH ST UNIT 1610","PHILADELPHIA","PA","19103","53548","811","15811","68548","","52737","Education","f990ez","2021","Education N.E.C.","Candid","Camden (County, 2022)"
"86-1908898","Gloucester Township Education Association Philanthropic Fund","28 Annapolis Dr","SICKLERVILLE","NJ","8081","10361","5963","","15356","","","Philanthropy, Voluntarism, and Grantmaking Foundations","f990ez","2022","Philanthropy / Charity / Voluntarism Promotion (General)","Candid","Camden (County, 2022)"
"86-2933534","Haddon Township Equity Initiative","1001 White Horse Pike Ste 39","HADDON TOWNSHIP","NJ","8107","88022","54719","0","43471","","43471","Community Improvement, Capacity Building","f990ez","2022","Community Coalitions","Candid","Camden (County, 2022)"
"86-3383317","Vand Chhako Sewa Inc","1200 Laurel Oak Rd Ste 107","VOORHEES","NJ","8043","","","0","0","","0","Public, Society Benefit - Multipurpose and Other","f990ez","2021","Public, Society Benefit - Multipurpose and Other N.E.C.","Candid","Camden (County, 2022)"
"86-3514565","Parents Invincible Inc","227 Market St # A","CAMDEN","NJ","8102","190000","125421","0","64579","","64579","Education","f990ez","2021","Education N.E.C.","Candid","Camden (County, 2022)"
"88-3412024","Raise the Bar Family Services Inc","808 Market St","CAMDEN","NJ","8102","93195","28512","","64683","","","Human Services - Multipurpose and Other","f990ez","2022","","Candid","Camden (County, 2022)"
"90-0652488","Rotary Club of Haddonfield Foundation","PO Box 383","HADDONFIELD","NJ","8033","41418","6569","316150","416116","","99966","Education","f990ez","2021","Scholarships, Student Financial Aid, Awards","Candid","Camden (County, 2022)"
"90-0736799","A Better Me Inc","201 BUCK ST","MILLVILLE","NJ","8332","60","1581","5742","6893","","1151","Mental Health, Crisis Intervention","f990ez","2022","Mental Health Treatment","Candid","Camden (County, 2022)"
"90-0885644","Gloucester High School Alumni Association Inc","522 Jefferson Ave","GLOUCESTER CITY","NJ","8030","17000","2200","","14800","","","Education","f990ez","2019","Alumni Associations","Candid","Camden (County, 2022)"
"90-0945617","Woman Cradle of Abundance","115 Maine Ave","CHERRY HILL","NJ","8002","130951","130951","0","5456","","5456","International, Foreign Affairs, and National Security","f990ez","2021","International Relief","Candid","Camden (County, 2022)"
"91-1996891","Free Public Library of Stratford","303 Union Ave","STRATFORD","NJ","8084","161123","131460","4804","343418","","338614","Education","f990ez","2021","Libraries, Library Science","Candid","Camden (County, 2022)"
"91-2026623","Osage Parent & Faculty Association","112 Somerdale Rd","VOORHEES","NJ","8043","33500","22270","0","28084","","28084","Education","f990ez","2022","Parent Teacher Group","Candid","Camden (County, 2022)"
"94-3396425","Delaware Valley Bichon Rescue Inc","167 Sequoia Dr","BERLIN","NJ","8009","18871","","","95924","","","Animal-Related","f990ez","2019","Animal Protection and Welfare (includes Humane Societies and SPCAs)","Candid","Camden (County, 2022)"
"95-4145844","Auxiliary To the Association of Philippine Physicians in America","18 Meadowyck Dr","CLEMENTON","NJ","8021","46422","43770","","7449","","","Education","f990ez","2019","Adult, Continuing Education","Candid","Camden (County, 2022)"
"01-0683197","Pinelands Garden Club of Medford Inc","14 CANDLEWOOD TER","MEDFORD","NJ","8055","","","","","","","Unknown","f990n","2022","Unknown","Candid","Camden (County, 2022)"
"01-0800511","PTA New Jersey Congress of Parents & Teachers","45 Ranoldo Ter","CHERRY HILL","NJ","8034","","","","","","","Education","f990n","2022","Parent Teacher Group","Candid","Camden (County, 2022)"
"02-0771274","PTA New Jersey Congress Avon Parents and Teachers","Avon and Mercer Drive","HADDONFIELD","NJ","8033","","","","","","","Education","f990n","2022","Parent Teacher Group","Candid","Camden (County, 2022)"
"02-0777341","Women of Character","19 Orlando Dr","SICKLERVILLE","NJ","8081","","","","","","","Religion Related, Spiritual Development","f990n","2020","Christian","Candid","Camden (County, 2022)"
"02-0782103","Berlin Twp P E A C E","235 Grove Ave","WEST BERLIN","NJ","8091","","","","","","","Education","f990n","2021","Fund Raising and/or Fund Distribution","Candid","Camden (County, 2022)"
"03-0449317","Paws for Life Coalition Inc","PO Box 253","CLEMENTON","NJ","8021","","","","","","","Animal-Related","f990n","2022","Animal Protection and Welfare (includes Humane Societies and SPCAs)","Candid","Camden (County, 2022)"
"04-3656523","Little League Baseball Inc","PO Box 212","MAGNOLIA","NJ","8049","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2022","Baseball, Softball (includes Little Leagues)","Candid","Camden (County, 2022)"
"04-3671309","International Forum for Information Technology in Tamil INFITT","11 Artisan Way","CHERRY HILL","NJ","8003","","","","","","","Science and Technology Research Institutes, Services","f990n","2022","Computer Science","Candid","Camden (County, 2022)"
"04-3728252","Little League Baseball Inc","PO Box 183","GLOUCESTER CITY","NJ","8030","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2021","Baseball, Softball (includes Little Leagues)","Candid","Camden (County, 2022)"
"04-3774562","Hispanics Impacting Public Policy Inc","411 Commerce Ln","WEST BERLIN","NJ","8091","","","","","","","Arts, Culture, and Humanities","f990n","2019","Cultural, Ethnic Awareness","Candid","Camden (County, 2022)"
"04-3805520","Audubon Band Boosters Inc","350 EDGEWOOD AVE","AUDUBON","NJ","8106","","","","","","","Education","f990n","2022","Single Organization Support","Candid","Camden (County, 2022)"
"05-0565872","The Morgan Village Circle Community Development Corp","2432 Wainwright St","CAMDEN","NJ","8104","","","","","","","Community Improvement, Capacity Building","f990n","2022","Community, Neighborhood Development, Improvement","Candid","Camden (County, 2022)"
"06-0959447","Marble Collectors Society of America Inc","1624 Crown Point Ln","CHERRY HILL","NJ","8003","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2022","Recreational, Pleasure, or Social Club","Candid","Camden (County, 2022)"
"14-1850676","Athletic Advantage Fund A New Jersey Non Profit Corporation","PO Box 8584","CHERRY HILL","NJ","8002","","","","","","","Youth Development","f990n","2022","Other Youth Development N.E.C.","Candid","Camden (County, 2022)"
"14-1940068","Citizens for Social Change and Rehabilitation Inc","4 Peachton Ln","SICKLERVILLE","NJ","8081","","","","","","","Civil Rights, Social Action, Advocacy","f990n","2021","Civil Rights, Advocacy for Specific Groups","Candid","Camden (County, 2022)"
"20-0116547","Beach Haven Charter Fishing Association Inc","243 Burrwood Ave","HADDON TOWNSHIP","NJ","8108","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2022","Fishing and Hunting Clubs","Candid","Camden (County, 2022)"
"20-0287760","Roxborough Chamber Symphony","1611 Chanticleer","CHERRY HILL","NJ","8003","","","","","","","Arts, Culture, and Humanities","f990n","2022","Symphony Orchestras","Candid","Camden (County, 2022)"
"20-0661380","Laurel Springs Home & School Council","623 Grand Ave","LAUREL SPRINGS","NJ","8021","","","","","","","Education","f990n","2022","Parent Teacher Group","Candid","Camden (County, 2022)"
"20-0746445","Merry Hearts Foundation","7325 Grant Ave","PENNSAUKEN","NJ","8109","","","","","","","Human Services - Multipurpose and Other","f990n","2020","Family Services","Candid","Camden (County, 2022)"
"20-1570178","A Joseph Project Community Development Corporation","350 Blackwood Clementon Rd Apt 312","PINE HILL","NJ","8021","","","","","","","Housing, Shelter","f990n","2022","Senior Citizens' Housing/Retirement Communities","Candid","Camden (County, 2022)"
"20-1760317","Haddon Township Historical Society","214 Morgan Ave","COLLINGSWOOD","NJ","8108","","","","","","","Arts, Culture, and Humanities","f990n","2022","Historical Societies & Historic Preservation","Candid","Camden (County, 2022)"
"20-2352843","Audubon Fathers Association","PO Box 128","AUDUBON","NJ","8106","","","","","","","Civil Rights, Social Action, Advocacy","f990n","2019","Civil Rights, Advocacy for Specific Groups","Candid","Camden (County, 2022)"
"20-2438816","International Restoration Bible Col Lege","17 York Ter","SICKLERVILLE","NJ","8081","","","","","","","Education","f990n","2020","Higher Education Institutions","Candid","Camden (County, 2022)"
"20-2870489","Kelli M Mulligan Memorial Scholorship Fund Inc","409 E Browning Rd","BELLMAWR","NJ","8031","","","","","","","Education","f990n","2022","Scholarships, Student Financial Aid, Awards","Candid","Camden (County, 2022)"
"20-3016391","Joyce A Fortino Foundation","PO Box 335","HADDON HEIGHTS","NJ","8035","","","","","","","Education","f990n","2020","Scholarships, Student Financial Aid, Awards","Candid","Camden (County, 2022)"
"20-3073787","Ngwa National Association USA Southern New Jersey Inc","3 GREEN ACRES LN","GLOUCESTER","NJ","8030","","","","","","","Arts, Culture, and Humanities","f990n","2022","Humanities Organizations","Candid","Camden (County, 2022)"
"20-3107747","Animal Rights Activists of New Jersey Inc","312 Echelon Rd Apt 10","VOORHEES","NJ","8043","","","","","","","Animal-Related","f990n","2022","Alliance/Advocacy Organizations","Candid","Camden (County, 2022)"
"20-3278107","Tapestries of Hope","PO Box 133","GLOUCESTER CITY","NJ","8030","","","","","","","Mental Health, Crisis Intervention","f990n","2022","Counseling Support Groups","Candid","Camden (County, 2022)"
"20-3434861","School Performance Solutions Inc","PO Box 4355","CHERRY HILL","NJ","8034","","","","","","","Education","f990n","2020","Management & Technical Assistance","Candid","Camden (County, 2022)"
"20-3561947","Kyrgyz Club Corp","90 Twinbridge Dr","PENNSAUKEN","NJ","8110","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2022","Recreational, Pleasure, or Social Club","Candid","Camden (County, 2022)"
"20-3716215","Healed With Scars","182 Centura Condominiums","CHERRY HILL","NJ","8003","","","","","","","Human Services - Multipurpose and Other","f990n","2019","Human Service Organizations","Candid","Camden (County, 2022)"
"20-3735151","Clark Family Breast Cancer Services Inc","660 N Princeton Ave","CHERRY HILL","NJ","8002","","","","","","","Health","f990n","2021","Home Health Care (includes Visiting Nurse Associations)","Candid","Camden (County, 2022)"
"20-3791497","South Jersey Youth Lacrosse League Inc","114 Madison Ave","CHERRY HILL","NJ","8002","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2021","Tennis and Racquet Sports Clubs/Leagues","Candid","Camden (County, 2022)"
"20-4404056","Summer Neuropeptide Conference Inc","401 S Broadway Biomed Sci Room 550  Camden, Nj 08103","CAMDEN","NJ","8103","","","","","","","Medical Research","f990n","2022","Neurology, Neuroscience","Candid","Camden (County, 2022)"
"20-4507730","Non Profit Development Center Ofsouthern New Jersey Inc","230 Kings Hwy E Ste 120","HADDONFIELD","NJ","8033","","","","","","","Community Improvement, Capacity Building","f990n","2021","Nonprofit Management","Candid","Camden (County, 2022)"
"20-4717943","Forgotten Felines Rescue Inc","PO Box 1402","CHERRY HILL","NJ","8034","","","","","","","Animal-Related","f990n","2022","Animal Protection and Welfare (includes Humane Societies and SPCAs)","Candid","Camden (County, 2022)"
"20-4733315","Brad Hennefer Golf for Lifefoundation Inc","225 Sawmill Rd","CHERRY HILL","NJ","8034","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2021","Golf (Country Clubs, use N50)","Candid","Camden (County, 2022)"
"20-5007578","Salt Shaker Foundation - Inc","515 Knights Pl","CHERRY HILL","NJ","8003","","","","","","","Religion Related, Spiritual Development","f990n","2019","Protestant","Candid","Camden (County, 2022)"
"20-5824608","Road Runners Club of America","PO Box 563","HADDONFIELD","NJ","8033","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2020","Amateur Sports Clubs, Leagues, N.E.C.","Candid","Camden (County, 2022)"
"20-8006456","Arctic Lights Productionsincorporated","111 Cornell Dr","VOORHEES","NJ","8043","","","","","","","Arts, Culture, and Humanities","f990n","2021","Theater","Candid","Camden (County, 2022)"
"20-8691755","Safe Passage Community Technologycenter A NJ Nonprofit Corporation","1300 Thurman St","CAMDEN","NJ","8104","","","","","","","Science and Technology Research Institutes, Services","f990n","2021","Science, General (includes Interdisciplinary Scientific Activities)","Candid","Camden (County, 2022)"
"20-8990426","African-Hispanic Immigration Organization A NJ Nonprofit Corp","4821 Westfield Ave","PENNSAUKEN","NJ","8110","","","","","","","Human Services - Multipurpose and Other","f990n","2020","Ethnic/Immigrant Services","Candid","Camden (County, 2022)"
"20-8998328","Jeremiah Community Developmentcorporation","823 Elm St","CAMDEN","NJ","8102","","","","","","","Community Improvement, Capacity Building","f990n","2022","Community, Neighborhood Development, Improvement","Candid","Camden (County, 2022)"
"21-0634502","Young Womens Christian Association of Camden County & Vicinity","9 Lakeside Dr","VOORHEES","NJ","8043","","","","","","","Human Services - Multipurpose and Other","f990n","2021","YMCA, YWCA, YWHA, YMHA","Candid","Camden (County, 2022)"
"21-0696618","Camden Rescue Mission Inc","1634 S Broadway","CAMDEN","NJ","8104","","","","","","","Housing, Shelter","f990n","2022","Temporary Shelter For the Homeless","Candid","Camden (County, 2022)"
"21-6018715","National Society of the Daughters of the American Revolution","9 Marlton Ave","GIBBSBORO","NJ","8026","","","","","","","Arts, Culture, and Humanities","f990n","2022","Historical Societies and Related Activities","Candid","Camden (County, 2022)"
"22-1814074","Christian Ministries Inc","818 N 7th St","CAMDEN","NJ","8102","","","","","","","Religion Related, Spiritual Development","f990n","2022","Christian","Candid","Camden (County, 2022)"
"22-1830174","Pennsauken Historical Society","PO Box 56","PENNSAUKEN","NJ","8110","","","","","","","Arts, Culture, and Humanities","f990n","2022","Historical Societies & Historic Preservation","Candid","Camden (County, 2022)"
"22-1910705","Collingswood Friends of the Library","771 Haddon Ave","COLLINGSWOOD","NJ","8108","","","","","","","Education","f990n","2022","Libraries, Library Science","Candid","Camden (County, 2022)"
"22-2086199","Cherry Hill Wind Symphony","73 Harrison Ave","CHERRY HILL","NJ","8002","","","","","","","Arts, Culture, and Humanities","f990n","2022","Symphony Orchestras","Candid","Camden (County, 2022)"
"22-2123127","PTA New Jersey Congress of Parents & Teachers","223 Rhode Island Ave","CHERRY HILL","NJ","8002","","","","","","","Education","f990n","2022","Parent Teacher Group","Candid","Camden (County, 2022)"
"22-2139132","The South Jersey Intergroup of Overeaters Anonymous","PO Box 766","VOORHEES","NJ","8043","","","","","","","Mental Health, Crisis Intervention","f990n","2022","Eating Disorder, Addiction","Candid","Camden (County, 2022)"
"22-2141885","Friends of Barclay Farmstead Inc","PO Box 3014","CHERRY HILL","NJ","8034","","","","","","","Arts, Culture, and Humanities","f990n","2022","History Museums","Candid","Camden (County, 2022)"
"22-2192229","Winslow Township School 4 Home School Association","541 Kali Rd","SICKLERVILLE","NJ","8081","","","","","","","Education","f990n","2022","Parent Teacher Group","Candid","Camden (County, 2022)"
"22-2208995","New Jersey Theatre League","1036 Mansion Ave","HADDON TOWNSHIP","NJ","8108","","","","","","","Arts, Culture, and Humanities","f990n","2021","Theater","Candid","Camden (County, 2022)"
"22-2236615","Brooks-Irvine Memorial Football Club of South Jersey","11 Bentley Ct","SOMERDALE","NJ","8083","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2022","Football Clubs/Leagues","Candid","Camden (County, 2022)"
"22-2237499","The Dean Burgon Society Incorporated","PO Box 354","COLLINGSWOOD","NJ","8108","","","","","","","Religion Related, Spiritual Development","f990n","2021","Religion Related, Spiritual Development N.E.C.","Candid","Camden (County, 2022)"
"22-2335999","Pennsauken Lions Foundation Inc","8251 River Rd  Long Beach Township Nj 08008-3064","PENNSAUKEN","NJ","8110","","","","","","","Philanthropy, Voluntarism, and Grantmaking Foundations","f990n","2022","Private Grantmaking Foundations","Candid","Camden (County, 2022)"
"22-2341387","Willingboro Astronomical Society","PO Box 371","GLOUCESTER CITY","NJ","8030","","","","","","","Science and Technology Research Institutes, Services","f990n","2022","Astronomy (includes Observatories)","Candid","Camden (County, 2022)"
"22-2342070","LA Leche League International Inc","1348 Maple Ave","HADDON HEIGHTS","NJ","8035","","","","","","","Health","f990n","2022","Alliance/Advocacy Organizations","Candid","Camden (County, 2022)"
"22-2369829","West Atco Civic Association","125 New Jersey Ave","ATCO","NJ","8004","","","","","","","Community Improvement, Capacity Building","f990n","2021","Neighborhood/Block Associations","Candid","Camden (County, 2022)"
